,L,R,U,D,ATK,SPC,JMP,DGD,STR
58,0.0185028575360775,0.17633670568466187,0.1775113344192505,0.01151234284043312,0.003735278034582734,0.1413872092962265,0.022704729810357094,0.023399634286761284,0.0012982856715098023
59,0.018273262307047844,0.1743651181459427,0.17555415630340576,0.011181916110217571,0.003632019041106105,0.1401849389076233,0.023003073409199715,0.023364398628473282,0.0012474646791815758
60,0.018004735931754112,0.17237095534801483,0.17378704249858856,0.010880958288908005,0.0035149655304849148,0.13942497968673706,0.022916730493307114,0.02327035181224346,0.0012000586139038205
61,0.01779516041278839,0.170644149184227,0.17233480513095856,0.010582409799098969,0.003419361310079694,0.13870769739151,0.02292797714471817,0.023232351988554,0.001156908692792058
62,0.01762336678802967,0.16923321783542633,0.17123952507972717,0.010328030213713646,0.0033420552499592304,0.13822424411773682,0.022866858169436455,0.02317764237523079,0.0011225438211113214
63,0.01754278503358364,0.16885599493980408,0.1707477569580078,0.010217225179076195,0.0033146305941045284,0.13786403834819794,0.023006506264209747,0.023163875564932823,0.0011097530368715525
64,0.017494888976216316,0.16891328990459442,0.17070356011390686,0.010151750408113003,0.00330972857773304,0.1374274641275406,0.02314079739153385,0.02313745580613613,0.0011074529029428959
65,0.017490675672888756,0.16990992426872253,0.17126354575157166,0.01016910094767809,0.003344421274960041,0.1365574300289154,0.023534270003437996,0.02307736687362194,0.0011204867623746395
66,0.017700713127851486,0.17203839123249054,0.1729947328567505,0.010429576970636845,0.00345541606657207,0.1368693709373474,0.023629331961274147,0.023179572075605392,0.0011664035264402628
67,0.017901141196489334,0.17375339567661285,0.17453135550022125,0.010673527605831623,0.0035490908194333315,0.13723395764827728,0.023593449965119362,0.023312609642744064,0.0012078792788088322
68,0.01810523495078087,0.1752241551876068,0.1761559098958969,0.010963811539113522,0.0036335813347250223,0.1383618265390396,0.023099279031157494,0.02342960797250271,0.0012492089299485087
69,0.018365859985351562,0.17661632597446442,0.17725828289985657,0.011320727877318859,0.003723823931068182,0.1398470550775528,0.02289688028395176,0.02367291785776615,0.0012904395116493106
70,0.01837627775967121,0.17625947296619415,0.17744995653629303,0.011439911089837551,0.0037104827351868153,0.1410732865333557,0.022139785811305046,0.02364376187324524,0.0012935015838593245
